id,result,table,_time,temperature
0,_result,0,2024-01-01 00:00:00+00:00,7.1
1,_result,0,2024-01-01 00:10:00+00:00,7.07
2,_result,0,2024-01-01 00:20:00+00:00,7.05
3,_result,0,2024-01-01 00:30:00+00:00,7.03
4,_result,0,2024-01-01 00:40:00+00:00,7.02
5,_result,0,2024-01-01 00:50:00+00:00,7.04
6,_result,0,2024-01-01 01:00:00+00:00,7.05
7,_result,0,2024-01-01 01:10:00+00:00,7.06
8,_result,0,2024-01-01 01:20:00+00:00,7.07
9,_result,0,2024-01-01 01:30:00+00:00,7.08
10,_result,0,2024-01-01 01:40:00+00:00,7.09
11,_result,0,2024-01-01 01:50:00+00:00,7.08
12,_result,0,2024-01-01 02:00:00+00:00,7.01
13,_result,0,2024-01-01 02:10:00+00:00,7.01
14,_result,0,2024-01-01 02:20:00+00:00,7.02
15,_result,0,2024-01-01 02:30:00+00:00,7.02
16,_result,0,2024-01-01 02:40:00+00:00,7.04
17,_result,0,2024-01-01 02:50:00+00:00,7.05
18,_result,0,2024-01-01 03:00:00+00:00,7.04
19,_result,0,2024-01-01 03:10:00+00:00,7.04
20,_result,0,2024-01-01 03:20:00+00:00,7.06
21,_result,0,2024-01-01 03:30:00+00:00,7.06
22,_result,0,2024-01-01 03:40:00+00:00,7.08
23,_result,0,2024-01-01 03:50:00+00:00,7.09
24,_result,0,2024-01-01 04:00:00+00:00,7.12
25,_result,0,2024-01-01 04:10:00+00:00,7.11
26,_result,0,2024-01-01 04:20:00+00:00,7.12
27,_result,0,2024-01-01 04:30:00+00:00,7.13
28,_result,0,2024-01-01 04:40:00+00:00,7.14
29,_result,0,2024-01-01 04:50:00+00:00,7.13
30,_result,0,2024-01-01 05:00:00+00:00,7.13
31,_result,0,2024-01-01 05:10:00+00:00,7.13
32,_result,0,2024-01-01 05:20:00+00:00,7.15
33,_result,0,2024-01-01 05:30:00+00:00,7.16
34,_result,0,2024-01-01 05:40:00+00:00,7.17
35,_result,0,2024-01-01 05:50:00+00:00,7.19
36,_result,0,2024-01-01 06:00:00+00:00,7.21
37,_result,0,2024-01-01 06:10:00+00:00,7.22
38,_result,0,2024-01-01 06:20:00+00:00,7.24
39,_result,0,2024-01-01 06:30:00+00:00,7.26
40,_result,0,2024-01-01 06:40:00+00:00,7.27
41,_result,0,2024-01-01 06:50:00+00:00,7.27
42,_result,0,2024-01-01 07:00:00+00:00,7.27
43,_result,0,2024-01-01 07:10:00+00:00,7.27
44,_result,0,2024-01-01 07:20:00+00:00,7.26
45,_result,0,2024-01-01 07:30:00+00:00,7.25
46,_result,0,2024-01-01 07:40:00+00:00,7.24
47,_result,0,2024-01-01 07:50:00+00:00,7.23
48,_result,0,2024-01-01 08:00:00+00:00,7.23
49,_result,0,2024-01-01 08:10:00+00:00,7.24
50,_result,0,2024-01-01 08:20:00+00:00,7.25
51,_result,0,2024-01-01 08:30:00+00:00,7.25
52,_result,0,2024-01-01 08:40:00+00:00,7.22
53,_result,0,2024-01-01 08:50:00+00:00,7.23
54,_result,0,2024-01-01 09:00:00+00:00,7.24
55,_result,0,2024-01-01 09:10:00+00:00,7.24
56,_result,0,2024-01-01 09:20:00+00:00,7.25
57,_result,0,2024-01-01 09:30:00+00:00,7.24
58,_result,0,2024-01-01 09:40:00+00:00,7.23
59,_result,0,2024-01-01 09:50:00+00:00,7.24
60,_result,0,2024-01-01 10:00:00+00:00,7.23
61,_result,0,2024-01-01 10:10:00+00:00,7.24
62,_result,0,2024-01-01 10:20:00+00:00,7.25
63,_result,0,2024-01-01 10:30:00+00:00,7.26
64,_result,0,2024-01-01 10:40:00+00:00,7.25
65,_result,0,2024-01-01 10:50:00+00:00,7.24
66,_result,0,2024-01-01 11:00:00+00:00,7.24
67,_result,0,2024-01-01 11:10:00+00:00,7.25
68,_result,0,2024-01-01 11:20:00+00:00,7.25
69,_result,0,2024-01-01 11:30:00+00:00,7.25
70,_result,0,2024-01-01 11:40:00+00:00,7.25
71,_result,0,2024-01-01 11:50:00+00:00,7.25
72,_result,0,2024-01-01 12:00:00+00:00,7.26
73,_result,0,2024-01-01 12:10:00+00:00,7.25
74,_result,0,2024-01-01 12:20:00+00:00,7.26
75,_result,0,2024-01-01 12:30:00+00:00,7.26
76,_result,0,2024-01-01 12:40:00+00:00,7.26
77,_result,0,2024-01-01 12:50:00+00:00,7.27
78,_result,0,2024-01-01 13:00:00+00:00,7.27
79,_result,0,2024-01-01 13:10:00+00:00,7.27
80,_result,0,2024-01-01 13:20:00+00:00,7.26
81,_result,0,2024-01-01 13:30:00+00:00,7.27
82,_result,0,2024-01-01 13:40:00+00:00,7.24
83,_result,0,2024-01-01 13:50:00+00:00,7.26
84,_result,0,2024-01-01 14:00:00+00:00,7.27
85,_result,0,2024-01-01 14:10:00+00:00,7.26
86,_result,0,2024-01-01 14:20:00+00:00,7.27
87,_result,0,2024-01-01 14:30:00+00:00,7.26
88,_result,0,2024-01-01 14:40:00+00:00,7.26
89,_result,0,2024-01-01 14:50:00+00:00,7.26
90,_result,0,2024-01-01 15:00:00+00:00,7.25
91,_result,0,2024-01-01 15:10:00+00:00,7.26
92,_result,0,2024-01-01 15:20:00+00:00,7.27
93,_result,0,2024-01-01 15:30:00+00:00,7.26
94,_result,0,2024-01-01 15:40:00+00:00,7.26
95,_result,0,2024-01-01 15:50:00+00:00,7.27
96,_result,0,2024-01-01 16:00:00+00:00,7.29
97,_result,0,2024-01-01 16:10:00+00:00,7.29
98,_result,0,2024-01-01 16:20:00+00:00,7.32
99,_result,0,2024-01-01 16:30:00+00:00,7.32
100,_result,0,2024-01-01 16:40:00+00:00,7.33
101,_result,0,2024-01-01 16:50:00+00:00,7.31
102,_result,0,2024-01-01 17:00:00+00:00,7.14
103,_result,0,2024-01-01 17:10:00+00:00,7.08
104,_result,0,2024-01-01 17:20:00+00:00,7.04
105,_result,0,2024-01-01 17:30:00+00:00,7.02
106,_result,0,2024-01-01 17:40:00+00:00,7.05
107,_result,0,2024-01-01 17:50:00+00:00,7.06
108,_result,0,2024-01-01 18:00:00+00:00,7.09
109,_result,0,2024-01-01 18:10:00+00:00,7.09
110,_result,0,2024-01-01 18:20:00+00:00,7.11
111,_result,0,2024-01-01 18:30:00+00:00,7.11
112,_result,0,2024-01-01 18:40:00+00:00,7.12
113,_result,0,2024-01-01 18:50:00+00:00,7.12
114,_result,0,2024-01-01 19:00:00+00:00,7.13
115,_result,0,2024-01-01 19:10:00+00:00,7.14
116,_result,0,2024-01-01 19:20:00+00:00,7.13
117,_result,0,2024-01-01 19:30:00+00:00,7.11
118,_result,0,2024-01-01 19:40:00+00:00,7.12
119,_result,0,2024-01-01 19:50:00+00:00,7.14
120,_result,0,2024-01-01 20:00:00+00:00,7.1
121,_result,0,2024-01-01 20:10:00+00:00,7.1
122,_result,0,2024-01-01 20:20:00+00:00,7.08
123,_result,0,2024-01-01 20:30:00+00:00,7.06
124,_result,0,2024-01-01 20:40:00+00:00,7.08
125,_result,0,2024-01-01 20:50:00+00:00,7.09
126,_result,0,2024-01-01 21:00:00+00:00,7.1
127,_result,0,2024-01-01 21:10:00+00:00,7.1
128,_result,0,2024-01-01 21:20:00+00:00,7.12
129,_result,0,2024-01-01 21:30:00+00:00,7.15
130,_result,0,2024-01-01 21:40:00+00:00,7.16
131,_result,0,2024-01-01 21:50:00+00:00,7.18
132,_result,0,2024-01-01 22:00:00+00:00,7.18
133,_result,0,2024-01-01 22:10:00+00:00,7.18
134,_result,0,2024-01-01 22:20:00+00:00,7.18
135,_result,0,2024-01-01 22:30:00+00:00,7.17
136,_result,0,2024-01-01 22:40:00+00:00,7.18
137,_result,0,2024-01-01 22:50:00+00:00,7.18
138,_result,0,2024-01-01 23:00:00+00:00,7.19
139,_result,0,2024-01-01 23:10:00+00:00,7.15
140,_result,0,2024-01-01 23:20:00+00:00,7.14
141,_result,0,2024-01-01 23:30:00+00:00,7.11
142,_result,0,2024-01-01 23:40:00+00:00,7.11
143,_result,0,2024-01-01 23:50:00+00:00,7.13
144,_result,0,2024-01-02 00:00:00+00:00,7.13
145,_result,0,2024-01-02 00:10:00+00:00,7.13
146,_result,0,2024-01-02 00:20:00+00:00,7.14
147,_result,0,2024-01-02 00:30:00+00:00,7.14
148,_result,0,2024-01-02 00:40:00+00:00,7.14
149,_result,0,2024-01-02 00:50:00+00:00,7.15
150,_result,0,2024-01-02 01:00:00+00:00,7.16
151,_result,0,2024-01-02 01:10:00+00:00,7.17
152,_result,0,2024-01-02 01:20:00+00:00,7.19
153,_result,0,2024-01-02 01:30:00+00:00,7.19
154,_result,0,2024-01-02 01:40:00+00:00,7.19
155,_result,0,2024-01-02 01:50:00+00:00,7.19
156,_result,0,2024-01-02 02:00:00+00:00,6.87
157,_result,0,2024-01-02 02:10:00+00:00,6.88
158,_result,0,2024-01-02 02:20:00+00:00,6.92
159,_result,0,2024-01-02 02:30:00+00:00,6.94
160,_result,0,2024-01-02 02:40:00+00:00,6.95
161,_result,0,2024-01-02 02:50:00+00:00,6.94
162,_result,0,2024-01-02 03:00:00+00:00,6.88
163,_result,0,2024-01-02 03:10:00+00:00,6.88
164,_result,0,2024-01-02 03:20:00+00:00,6.92
165,_result,0,2024-01-02 03:30:00+00:00,6.97
166,_result,0,2024-01-02 03:40:00+00:00,6.96
167,_result,0,2024-01-02 03:50:00+00:00,6.95
168,_result,0,2024-01-02 04:00:00+00:00,6.97
169,_result,0,2024-01-02 04:10:00+00:00,6.99
170,_result,0,2024-01-02 04:20:00+00:00,6.99
171,_result,0,2024-01-02 04:30:00+00:00,6.98
172,_result,0,2024-01-02 04:40:00+00:00,6.98
173,_result,0,2024-01-02 04:50:00+00:00,6.98
174,_result,0,2024-01-02 05:00:00+00:00,6.98
175,_result,0,2024-01-02 05:10:00+00:00,6.99
176,_result,0,2024-01-02 05:20:00+00:00,6.98
177,_result,0,2024-01-02 05:30:00+00:00,6.98
178,_result,0,2024-01-02 05:40:00+00:00,6.97
179,_result,0,2024-01-02 05:50:00+00:00,6.94
180,_result,0,2024-01-02 06:00:00+00:00,6.92
181,_result,0,2024-01-02 06:10:00+00:00,6.89
182,_result,0,2024-01-02 06:20:00+00:00,6.86
183,_result,0,2024-01-02 06:30:00+00:00,6.85
184,_result,0,2024-01-02 06:40:00+00:00,6.86
185,_result,0,2024-01-02 06:50:00+00:00,6.88
186,_result,0,2024-01-02 07:00:00+00:00,6.9
187,_result,0,2024-01-02 07:10:00+00:00,6.93
188,_result,0,2024-01-02 07:20:00+00:00,6.94
189,_result,0,2024-01-02 07:30:00+00:00,6.94
190,_result,0,2024-01-02 07:40:00+00:00,6.95
191,_result,0,2024-01-02 07:50:00+00:00,6.96
192,_result,0,2024-01-02 08:00:00+00:00,6.98
193,_result,0,2024-01-02 08:10:00+00:00,6.99
194,_result,0,2024-01-02 08:20:00+00:00,6.88
195,_result,0,2024-01-02 08:30:00+00:00,6.82
196,_result,0,2024-01-02 08:40:00+00:00,6.85
197,_result,0,2024-01-02 08:50:00+00:00,6.84
198,_result,0,2024-01-02 09:00:00+00:00,6.83
199,_result,0,2024-01-02 09:10:00+00:00,6.86
200,_result,0,2024-01-02 09:20:00+00:00,6.89
201,_result,0,2024-01-02 09:30:00+00:00,6.9
202,_result,0,2024-01-02 09:40:00+00:00,6.89
203,_result,0,2024-01-02 09:50:00+00:00,6.9
204,_result,0,2024-01-02 10:00:00+00:00,6.91
205,_result,0,2024-01-02 10:10:00+00:00,6.91
206,_result,0,2024-01-02 10:20:00+00:00,6.92
207,_result,0,2024-01-02 10:30:00+00:00,6.95
208,_result,0,2024-01-02 10:40:00+00:00,6.97
209,_result,0,2024-01-02 10:50:00+00:00,6.98
210,_result,0,2024-01-02 11:00:00+00:00,6.98
211,_result,0,2024-01-02 11:10:00+00:00,7.01
212,_result,0,2024-01-02 11:20:00+00:00,7.04
213,_result,0,2024-01-02 11:30:00+00:00,7.01
214,_result,0,2024-01-02 11:40:00+00:00,7.0
215,_result,0,2024-01-02 11:50:00+00:00,6.99
216,_result,0,2024-01-02 12:00:00+00:00,6.97
217,_result,0,2024-01-02 12:10:00+00:00,6.99
218,_result,0,2024-01-02 12:20:00+00:00,6.94
219,_result,0,2024-01-02 12:30:00+00:00,6.95
220,_result,0,2024-01-02 12:40:00+00:00,6.96
221,_result,0,2024-01-02 12:50:00+00:00,6.98
222,_result,0,2024-01-02 13:00:00+00:00,6.96
223,_result,0,2024-01-02 13:10:00+00:00,6.97
224,_result,0,2024-01-02 13:20:00+00:00,6.98
225,_result,0,2024-01-02 13:30:00+00:00,7.02
226,_result,0,2024-01-02 13:40:00+00:00,7.07
227,_result,0,2024-01-02 13:50:00+00:00,7.09
228,_result,0,2024-01-02 14:00:00+00:00,7.06
229,_result,0,2024-01-02 14:10:00+00:00,7.05
230,_result,0,2024-01-02 14:20:00+00:00,7.05
231,_result,0,2024-01-02 14:30:00+00:00,7.06
232,_result,0,2024-01-02 14:40:00+00:00,7.06
233,_result,0,2024-01-02 14:50:00+00:00,7.09
234,_result,0,2024-01-02 15:00:00+00:00,7.13
235,_result,0,2024-01-02 15:10:00+00:00,7.11
236,_result,0,2024-01-02 15:20:00+00:00,7.05
237,_result,0,2024-01-02 15:30:00+00:00,7.03
238,_result,0,2024-01-02 15:40:00+00:00,7.04
239,_result,0,2024-01-02 15:50:00+00:00,7.02
240,_result,0,2024-01-02 16:00:00+00:00,7.03
241,_result,0,2024-01-02 16:10:00+00:00,7.08
242,_result,0,2024-01-02 16:20:00+00:00,7.1
243,_result,0,2024-01-02 16:30:00+00:00,7.12
244,_result,0,2024-01-02 16:40:00+00:00,7.13
245,_result,0,2024-01-02 16:50:00+00:00,7.15
246,_result,0,2024-01-02 17:00:00+00:00,7.13
247,_result,0,2024-01-02 17:10:00+00:00,7.13
248,_result,0,2024-01-02 17:20:00+00:00,7.13
249,_result,0,2024-01-02 17:30:00+00:00,7.14
250,_result,0,2024-01-02 17:40:00+00:00,7.13
251,_result,0,2024-01-02 17:50:00+00:00,7.14
252,_result,0,2024-01-02 18:00:00+00:00,7.14
253,_result,0,2024-01-02 18:10:00+00:00,7.15
254,_result,0,2024-01-02 18:20:00+00:00,7.15
255,_result,0,2024-01-02 18:30:00+00:00,7.13
256,_result,0,2024-01-02 18:40:00+00:00,7.13
257,_result,0,2024-01-02 18:50:00+00:00,7.16
258,_result,0,2024-01-02 19:00:00+00:00,7.15
259,_result,0,2024-01-02 19:10:00+00:00,7.13
260,_result,0,2024-01-02 19:20:00+00:00,7.13
261,_result,0,2024-01-02 19:30:00+00:00,7.15
262,_result,0,2024-01-02 19:40:00+00:00,7.14
263,_result,0,2024-01-02 19:50:00+00:00,7.17
264,_result,0,2024-01-02 20:00:00+00:00,7.18
265,_result,0,2024-01-02 20:10:00+00:00,7.2
266,_result,0,2024-01-02 20:20:00+00:00,7.19
267,_result,0,2024-01-02 20:30:00+00:00,7.18
268,_result,0,2024-01-02 20:40:00+00:00,7.17
269,_result,0,2024-01-02 20:50:00+00:00,7.14
270,_result,0,2024-01-02 21:00:00+00:00,7.13
271,_result,0,2024-01-02 21:10:00+00:00,7.15
272,_result,0,2024-01-02 21:20:00+00:00,7.12
273,_result,0,2024-01-02 21:30:00+00:00,7.13
274,_result,0,2024-01-02 21:40:00+00:00,7.12
275,_result,0,2024-01-02 21:50:00+00:00,7.13
276,_result,0,2024-01-02 22:00:00+00:00,7.16
277,_result,0,2024-01-02 22:10:00+00:00,7.16
278,_result,0,2024-01-02 22:20:00+00:00,7.16
279,_result,0,2024-01-02 22:30:00+00:00,7.16
280,_result,0,2024-01-02 22:40:00+00:00,7.17
281,_result,0,2024-01-02 22:50:00+00:00,7.15
282,_result,0,2024-01-02 23:00:00+00:00,7.15
283,_result,0,2024-01-02 23:10:00+00:00,7.18
284,_result,0,2024-01-02 23:20:00+00:00,7.18
285,_result,0,2024-01-02 23:30:00+00:00,7.18
286,_result,0,2024-01-02 23:40:00+00:00,7.15
287,_result,0,2024-01-02 23:50:00+00:00,7.17
288,_result,0,2024-01-03 00:00:00+00:00,7.19
289,_result,0,2024-01-03 00:10:00+00:00,7.19
290,_result,0,2024-01-03 00:20:00+00:00,7.19
291,_result,0,2024-01-03 00:30:00+00:00,7.16
292,_result,0,2024-01-03 00:40:00+00:00,7.06
293,_result,0,2024-01-03 00:50:00+00:00,7.04
294,_result,0,2024-01-03 01:00:00+00:00,7.05
295,_result,0,2024-01-03 01:10:00+00:00,7.08
296,_result,0,2024-01-03 01:20:00+00:00,7.09
297,_result,0,2024-01-03 01:30:00+00:00,7.1
298,_result,0,2024-01-03 01:40:00+00:00,7.12
299,_result,0,2024-01-03 01:50:00+00:00,7.13
300,_result,0,2024-01-03 02:00:00+00:00,7.15
301,_result,0,2024-01-03 02:10:00+00:00,7.14
302,_result,0,2024-01-03 02:20:00+00:00,7.13
303,_result,0,2024-01-03 02:30:00+00:00,7.12
304,_result,0,2024-01-03 02:40:00+00:00,7.1
305,_result,0,2024-01-03 02:50:00+00:00,7.09
306,_result,0,2024-01-03 03:00:00+00:00,7.03
307,_result,0,2024-01-03 03:10:00+00:00,7.01
308,_result,0,2024-01-03 03:20:00+00:00,6.99
309,_result,0,2024-01-03 03:30:00+00:00,6.93
310,_result,0,2024-01-03 03:40:00+00:00,6.87
311,_result,0,2024-01-03 03:50:00+00:00,6.84
312,_result,0,2024-01-03 04:00:00+00:00,6.83
313,_result,0,2024-01-03 04:10:00+00:00,6.83
