YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
91,01,01,00,246,03.0,06.5,01.90,11.10,06.00,999,1023.3,21.3,22.8,999.0,99.0
91,01,01,01,308,01.7,03.1,01.90,06.20,06.10,999,1023.6,21.4,22.8,999.0,99.0
91,01,01,02,065,05.0,07.1,02.00,06.20,06.20,999,1024.0,21.7,22.8,999.0,99.0
91,01,01,03,065,05.5,06.5,02.10,06.70,06.20,999,1024.2,21.8,22.8,999.0,99.0
91,01,01,04,071,06.1,07.1,01.90,11.10,06.20,999,1024.5,21.6,22.8,999.0,99.0
91,01,01,05,069,07.2,08.5,01.80,11.10,05.80,999,1024.5,21.5,22.9,999.0,99.0
91,01,01,06,070,07.3,08.9,01.80,11.10,05.90,999,1024.2,21.6,22.8,999.0,99.0
91,01,01,07,058,07.6,08.9,01.80,11.10,05.60,999,1024.5,21.7,22.9,999.0,99.0
91,01,01,08,053,08.6,10.3,02.10,11.10,05.90,999,1024.6,21.5,22.9,999.0,99.0
91,01,01,09,049,10.1,12.4,02.40,08.30,05.90,999,1024.3,21.0,23.3,999.0,99.0
91,01,01,10,055,10.4,12.3,02.60,08.30,06.00,999,1024.3,20.8,23.6,999.0,99.0
91,01,01,11,060,10.4,12.7,02.40,08.30,05.70,999,1024.7,21.0,23.7,999.0,99.0
91,01,01,12,052,11.4,13.7,02.50,08.30,05.70,999,1025.3,20.4,23.7,999.0,99.0
91,01,01,13,058,11.1,13.3,02.80,08.30,05.90,999,1025.6,20.5,23.7,999.0,99.0
91,01,01,14,060,10.8,13.3,02.70,07.70,05.70,999,1026.3,20.6,23.7,999.0,99.0
91,01,01,15,069,11.4,13.7,02.80,08.30,06.10,999,1026.6,20.8,23.7,999.0,99.0
91,01,01,16,068,10.1,12.5,02.80,09.10,05.90,999,1027.0,20.9,23.7,999.0,99.0
91,01,01,17,072,10.3,12.5,02.80,08.30,06.20,999,1026.0,21.3,23.7,999.0,99.0
91,01,01,18,076,09.3,11.3,02.60,08.30,06.20,999,1025.2,21.0,23.5,999.0,99.0
91,01,01,19,083,09.8,11.9,02.60,07.70,06.30,999,1024.1,21.3,23.1,999.0,99.0
91,01,01,20,083,10.8,13.2,02.70,08.30,06.40,999,1023.7,21.6,23.0,999.0,99.0
91,01,01,21,077,09.5,11.5,02.60,09.10,06.00,999,1023.6,21.7,23.1,999.0,99.0
91,01,01,22,066,07.8,09.3,02.80,08.30,06.40,999,1023.8,21.6,23.2,999.0,99.0
91,01,01,23,085,05.1,06.1,02.80,08.30,06.60,999,1023.6,21.3,23.0,999.0,99.0
91,01,02,00,156,02.6,04.7,02.60,07.70,06.50,999,1024.0,21.3,22.9,999.0,99.0
91,01,02,01,236,03.8,05.4,02.60,08.30,06.80,999,1024.3,21.2,22.9,999.0,99.0
91,01,02,02,198,05.5,06.8,02.50,08.30,06.50,999,1024.1,20.9,22.8,999.0,99.0
91,01,02,03,198,08.5,10.7,02.20,08.30,06.10,999,1024.2,21.0,22.8,999.0,99.0
