Tidspunkt,Lufttemperatur (°C),Korrigert,Kontrollert
2022-04-25 13:00:00:00,8.075,0,1
2022-04-25 14:00:00:00,7.7,0,1
2022-04-25 15:00:00:00,7.2375,0,1
2022-04-25 16:00:00:00,7,0,1
2022-04-25 17:00:00:00,6.7625,0,1
2022-04-25 18:00:00:00,6.2875,0,1
2022-04-25 19:00:00:00,5.6875,0,1
2022-04-25 20:00:00:00,5.0875,0,1
2022-04-25 21:00:00:00,4.9,0,1
2022-04-25 22:00:00:00,4.287499,0,1
2022-04-25 23:00:00:00,4.0875,0,1
2022-04-26 00:00:00:00,3.825,0,1
2022-04-26 01:00:00:00,3.15,0,1
2022-04-26 02:00:00:00,2.8,0,1
2022-04-26 03:00:00:00,3.025,0,1
2022-04-26 04:00:00:00,2.9,0,1
2022-04-26 05:00:00:00,2.725,0,1
2022-04-26 06:00:00:00,2.8125,0,1
2022-04-26 07:00:00:00,3.6375,0,1
2022-04-26 08:00:00:00,4.625,0,1
2022-04-26 09:00:00:00,4.875,0,1
2022-04-26 10:00:00:00,6.35,0,1
2022-04-26 11:00:00:00,6.475,0,1
2022-04-26 12:00:00:00,6,0,1
2022-04-26 13:00:00:00,7.1875,0,1
2022-04-26 14:00:00:00,5.5375,0,1
2022-04-26 15:00:00:00,5.6375,0,1
2022-04-26 16:00:00:00,4.8,0,1
2022-04-26 17:00:00:00,4.775,0,1
2022-04-26 18:00:00:00,4.225,0,1
2022-04-26 19:00:00:00,3.6,0,1
2022-04-26 20:00:00:00,2.55,0,1
2022-04-26 21:00:00:00,2.225,0,1
2022-04-26 22:00:00:00,1.675,0,1
2022-04-26 23:00:00:00,1.5,0,1
2022-04-27 00:00:00:00,1.4125,0,1
2022-04-27 01:00:00:00,1.4,0,1
2022-04-27 02:00:00:00,1.3375,0,1
2022-04-27 03:00:00:00,0.975,0,1
2022-04-27 04:00:00:00,1.0625,0,1
2022-04-27 05:00:00:00,1.675,0,1
2022-04-27 06:00:00:00,2.9375,0,1
2022-04-27 07:00:00:00,4.7875,0,1
2022-04-27 08:00:00:00,5.05,0,1
2022-04-27 09:00:00:00,5.95,0,1
2022-04-27 10:00:00:00,7.025001,0,1
2022-04-27 11:00:00:00,6.8875,0,1
2022-04-27 12:00:00:00,8.4125,0,1
2022-04-27 13:00:00:00,8.1,0,1
2022-04-27 14:00:00:00,7.825,0,1
2022-04-27 15:00:00:00,6.7125,0,1
2022-04-27 16:00:00:00,6.125,0,1
2022-04-27 17:00:00:00,5.5875,0,1
2022-04-27 18:00:00:00,3.9,0,1
2022-04-27 19:00:00:00,2.725,0,1
2022-04-27 20:00:00:00,2.425,0,1
2022-04-27 21:00:00:00,2.425,0,1
2022-04-27 22:00:00:00,2.6375,0,1
2022-04-27 23:00:00:00,3.0375,0,1
2022-04-28 00:00:00:00,3.05,0,1
2022-04-28 01:00:00:00,2.7875,0,1
2022-04-28 02:00:00:00,2.9875,0,1
2022-04-28 03:00:00:00,3.1875,0,1
2022-04-28 04:00:00:00,3.2875,0,1
2022-04-28 05:00:00:00,3.35,0,1
