Tidspunkt,Vannstand (m),Korrigert,Kontrollert
2022-04-25 13:00:00:00,3.864701,0,2
2022-04-25 14:00:00:00,3.857151,0,2
2022-04-25 15:00:00:00,3.832268,0,2
2022-04-25 16:00:00:00,3.818753,0,2
2022-04-25 17:00:00:00,3.808633,0,2
2022-04-25 18:00:00:00,3.812388,0,2
2022-04-25 19:00:00:00,3.820002,0,2
2022-04-25 20:00:00:00,3.833023,0,2
2022-04-25 21:00:00:00,3.834626,0,2
2022-04-25 22:00:00:00,3.837751,0,2
2022-04-25 23:00:00:00,3.841627,0,2
2022-04-26 00:00:00:00,3.835131,0,2
2022-04-26 01:00:00:00,3.819252,0,2
2022-04-26 02:00:00:00,3.812634,0,2
2022-04-26 03:00:00:00,3.799395,0,2
2022-04-26 04:00:00:00,3.794135,0,2
2022-04-26 05:00:00:00,3.786261,0,2
2022-04-26 06:00:00:00,3.766633,0,2
2022-04-26 07:00:00:00,3.743141,0,2
2022-04-26 08:00:00:00,3.717396,0,2
2022-04-26 09:00:00:00,3.696884,0,2
2022-04-26 10:00:00:00,3.674008,0,2
2022-04-26 11:00:00:00,3.649879,0,2
2022-04-26 12:00:00:00,3.623768,0,2
2022-04-26 13:00:00:00,3.600253,0,2
2022-04-26 14:00:00:00,3.580508,0,2
2022-04-26 15:00:00:00,3.565386,0,2
2022-04-26 16:00:00:00,3.535504,0,2
2022-04-26 17:00:00:00,3.524018,0,2
2022-04-26 18:00:00:00,3.496757,0,2
2022-04-26 19:00:00:00,3.476882,0,2
2022-04-26 20:00:00:00,3.451516,0,2
2022-04-26 21:00:00:00,3.430509,0,2
2022-04-26 22:00:00:00,3.410382,0,2
2022-04-26 23:00:00:00,3.387136,0,2
2022-04-27 00:00:00:00,3.36763,0,2
2022-04-27 01:00:00:00,3.344508,0,2
2022-04-27 02:00:00:00,3.323628,0,2
2022-04-27 03:00:00:00,3.303634,0,2
2022-04-27 04:00:00:00,3.279884,0,2
2022-04-27 05:00:00:00,3.255509,0,2
2022-04-27 06:00:00:00,3.234879,0,2
2022-04-27 07:00:00:00,3.215009,0,2
2022-04-27 08:00:00:00,3.195631,0,2
2022-04-27 09:00:00:00,3.182877,0,2
2022-04-27 10:00:00:00,3.168266,0,2
2022-04-27 11:00:00:00,3.149881,0,2
2022-04-27 12:00:00:00,3.134884,0,2
2022-04-27 13:00:00:00,3.12126,0,2
2022-04-27 14:00:00:00,3.110376,0,2
2022-04-27 15:00:00:00,3.099768,0,2
2022-04-27 16:00:00:00,3.086252,0,2
2022-04-27 17:00:00:00,3.073254,0,2
2022-04-27 18:00:00:00,3.062511,0,2
2022-04-27 19:00:00:00,3.056251,0,2
2022-04-27 20:00:00:00,3.045881,0,2
2022-04-27 21:00:00:00,3.034379,0,2
2022-04-27 22:00:00:00,3.032754,0,2
2022-04-27 23:00:00:00,3.024759,0,2
2022-04-28 00:00:00:00,3.011131,0,2
2022-04-28 01:00:00:00,3.000506,0,2
2022-04-28 02:00:00:00,2.998514,0,2
2022-04-28 03:00:00:00,2.983259,0,2
2022-04-28 04:00:00:00,2.975506,0,2
2022-04-28 05:00:00:00,2.962752,0,2
2022-04-28 06:00:00:00,2.954634,0,2
2022-04-28 07:00:00:00,2.937145,0,2
2022-04-28 08:00:00:00,2.928132,0,2
2022-04-28 09:00:00:00,2.919641,0,2
2022-04-28 10:00:00:00,2.914138,0,2
2022-04-28 11:00:00:00,2.904628,0,2
2022-04-28 12:00:00:00,2.895882,0,2
2022-04-28 13:00:00:00,2.892509,0,2
2022-04-28 14:00:00:00,2.881762,0,2
2022-04-28 15:00:00:00,2.882884,0,2
2022-04-28 16:00:00:00,2.878509,0,2
2022-04-28 17:00:00:00,2.880626,0,2
2022-04-28 18:00:00:00,2.884383,0,2
