Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Lade,SN68050,25-04-2022 13:00:00,8.3
Lade,SN68050,25-04-2022 14:00:00,9.6
Lade,SN68050,25-04-2022 15:00:00,7.9
Lade,SN68050,25-04-2022 16:00:00,7.6
Lade,SN68050,25-04-2022 17:00:00,7.3
Lade,SN68050,25-04-2022 18:00:00,6.6
Lade,SN68050,25-04-2022 19:00:00,5.7
Lade,SN68050,25-04-2022 20:00:00,5.4
Lade,SN68050,25-04-2022 21:00:00,5
Lade,SN68050,25-04-2022 22:00:00,5.1
Lade,SN68050,25-04-2022 23:00:00,4.9
Lade,SN68050,26-04-2022 00:00:00,4.4
Lade,SN68050,26-04-2022 01:00:00,3.8
Lade,SN68050,26-04-2022 02:00:00,4.2
Lade,SN68050,26-04-2022 03:00:00,4.1
Lade,SN68050,26-04-2022 04:00:00,3.9
Lade,SN68050,26-04-2022 05:00:00,2.7
Lade,SN68050,26-04-2022 06:00:00,3
Lade,SN68050,26-04-2022 07:00:00,3.4
Lade,SN68050,26-04-2022 08:00:00,3.8
Lade,SN68050,26-04-2022 09:00:00,4.6
Lade,SN68050,26-04-2022 10:00:00,4.2
Lade,SN68050,26-04-2022 11:00:00,5.6
Lade,SN68050,26-04-2022 12:00:00,3.3
Lade,SN68050,26-04-2022 13:00:00,5.7
Lade,SN68050,26-04-2022 14:00:00,4.7
Lade,SN68050,26-04-2022 15:00:00,5.4
Lade,SN68050,26-04-2022 16:00:00,5.4
Lade,SN68050,26-04-2022 17:00:00,5.6
Lade,SN68050,26-04-2022 18:00:00,3.7
Lade,SN68050,26-04-2022 19:00:00,3.4
Lade,SN68050,26-04-2022 20:00:00,3.1
Lade,SN68050,26-04-2022 21:00:00,2.1
Lade,SN68050,26-04-2022 22:00:00,2.3
Lade,SN68050,26-04-2022 23:00:00,2.1
Lade,SN68050,27-04-2022 00:00:00,1.7
Lade,SN68050,27-04-2022 01:00:00,1
Lade,SN68050,27-04-2022 02:00:00,0.7
Lade,SN68050,27-04-2022 03:00:00,0.8
Lade,SN68050,27-04-2022 04:00:00,0.5
Lade,SN68050,27-04-2022 05:00:00,0.7
Lade,SN68050,27-04-2022 06:00:00,0.9
Lade,SN68050,27-04-2022 07:00:00,1.2
Lade,SN68050,27-04-2022 08:00:00,2.2
Lade,SN68050,27-04-2022 09:00:00,3.2
Lade,SN68050,27-04-2022 10:00:00,4
Lade,SN68050,27-04-2022 11:00:00,3.9
Lade,SN68050,27-04-2022 12:00:00,4.9
Lade,SN68050,27-04-2022 13:00:00,5.7
Lade,SN68050,27-04-2022 14:00:00,5.9
Lade,SN68050,27-04-2022 15:00:00,5.8
Lade,SN68050,27-04-2022 16:00:00,5.5
Lade,SN68050,27-04-2022 17:00:00,5.3
Lade,SN68050,27-04-2022 18:00:00,3.9
Lade,SN68050,27-04-2022 19:00:00,2.1
