Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Lade,SN68050,01-01-2024 00:00:00,-3.9
Lade,SN68050,01-01-2024 01:00:00,-3.9
Lade,SN68050,01-01-2024 02:00:00,-4.3
Lade,SN68050,01-01-2024 03:00:00,-3.9
Lade,SN68050,01-01-2024 04:00:00,-3.7
Lade,SN68050,01-01-2024 05:00:00,-3.5
Lade,SN68050,01-01-2024 06:00:00,-3.4
Lade,SN68050,01-01-2024 07:00:00,-3.4
Lade,SN68050,01-01-2024 08:00:00,-3.3
Lade,SN68050,01-01-2024 09:00:00,-3.4
Lade,SN68050,01-01-2024 10:00:00,-3.3
Lade,SN68050,01-01-2024 11:00:00,-3.1
Lade,SN68050,01-01-2024 12:00:00,-2.8
Lade,SN68050,01-01-2024 13:00:00,-3.1
Lade,SN68050,01-01-2024 14:00:00,-3.2
Lade,SN68050,01-01-2024 15:00:00,-3.5
Lade,SN68050,01-01-2024 16:00:00,-3.5
Lade,SN68050,01-01-2024 17:00:00,-3.8
Lade,SN68050,01-01-2024 18:00:00,-4
Lade,SN68050,01-01-2024 19:00:00,-4.1
Lade,SN68050,01-01-2024 20:00:00,-4.6
Lade,SN68050,01-01-2024 21:00:00,-4.9
Lade,SN68050,01-01-2024 22:00:00,-5.2
Lade,SN68050,01-01-2024 23:00:00,-5.2
Lade,SN68050,02-01-2024 00:00:00,-5.4
Lade,SN68050,02-01-2024 01:00:00,-5.3
Lade,SN68050,02-01-2024 02:00:00,-5.6
Lade,SN68050,02-01-2024 03:00:00,-5.9
Lade,SN68050,02-01-2024 04:00:00,-5.8
Lade,SN68050,02-01-2024 05:00:00,-6.3
Lade,SN68050,02-01-2024 06:00:00,-6.6
Lade,SN68050,02-01-2024 07:00:00,-7.1
Lade,SN68050,02-01-2024 08:00:00,-7.6
Lade,SN68050,02-01-2024 09:00:00,-7.9
Lade,SN68050,02-01-2024 10:00:00,-8.1
Lade,SN68050,02-01-2024 11:00:00,-8.2
Lade,SN68050,02-01-2024 12:00:00,-8.3
Lade,SN68050,02-01-2024 13:00:00,-8.3
Lade,SN68050,02-01-2024 14:00:00,-8.3
Lade,SN68050,02-01-2024 15:00:00,-8.1
Lade,SN68050,02-01-2024 16:00:00,-8
Lade,SN68050,02-01-2024 17:00:00,-7.9
