Tidspunkt,Vannføring (m³/s),Korrigert,Kontrollert
2022-04-25 13:00:00,74.87629,0,2
2022-04-25 14:00:00,72.17842,0,2
2022-04-25 15:00:00,49.90323,0,2
2022-04-25 16:00:00,43.15237,0,2
2022-04-25 17:00:00,42.83614,0,2
2022-04-25 18:00:00,42.6977,0,2
2022-04-25 19:00:00,42.52191,0,2
2022-04-25 20:00:00,42.63584,0,2
2022-04-25 21:00:00,43.55963,0,2
2022-04-25 22:00:00,44.21101,0,2
2022-04-25 23:00:00,43.98109,0,2
2022-04-26 00:00:00,42.88843,0,2
2022-04-26 01:00:00,42.29689,0,2
2022-04-26 02:00:00,42.39669,0,2
2022-04-26 03:00:00,42.69855,0,2
2022-04-26 04:00:00,43.50803,0,2
2022-04-26 05:00:00,43.76214,0,2
2022-04-26 06:00:00,46.92677,0,2
2022-04-26 07:00:00,67.30959,0,2
2022-04-26 08:00:00,74.35133,0,2
2022-04-26 09:00:00,70.59014,0,2
2022-04-26 10:00:00,49.95005,0,2
2022-04-26 11:00:00,44.02772,0,2
2022-04-26 12:00:00,43.99282,0,2
2022-04-26 13:00:00,43.72408,0,2
2022-04-26 14:00:00,43.41827,0,2
2022-04-26 15:00:00,43.24052,0,2
2022-04-26 16:00:00,43.3549,0,2
2022-04-26 17:00:00,47.17276,0,2
2022-04-26 18:00:00,68.47475,0,2
2022-04-26 19:00:00,78.35731,0,2
2022-04-26 20:00:00,92.66727,0,2
2022-04-26 21:00:00,94.55961,0,2
2022-04-26 22:00:00,91.34258,0,2
2022-04-26 23:00:00,89.43837,0,2
2022-04-27 00:00:00,93.23856,0,2
2022-04-27 01:00:00,118.0832,0,2
2022-04-27 02:00:00,138.8957,0,2
2022-04-27 03:00:00,147.2885,0,2
2022-04-27 04:00:00,149.5225,0,2
2022-04-27 05:00:00,149.3531,0,2
2022-04-27 06:00:00,147.8627,0,2
2022-04-27 07:00:00,146.1958,0,2
2022-04-27 08:00:00,141.6228,0,2
2022-04-27 09:00:00,142.2449,0,2
2022-04-27 10:00:00,144.9956,0,2
2022-04-27 11:00:00,146.1027,0,2
2022-04-27 12:00:00,145.8019,0,2
2022-04-27 13:00:00,142.7408,0,2
2022-04-27 14:00:00,144.3867,0,2
2022-04-27 15:00:00,139.6478,0,2
2022-04-27 16:00:00,110.5275,0,2
2022-04-27 17:00:00,97.22879,0,2
2022-04-27 18:00:00,86.29227,0,2
2022-04-27 19:00:00,62.66152,0,2
2022-04-27 20:00:00,55.56699,0,2
2022-04-27 21:00:00,55.42132,0,2
2022-04-27 22:00:00,56.45385,0,2
2022-04-27 23:00:00,56.75512,0,2
2022-04-28 00:00:00,57.66666,0,2
2022-04-28 01:00:00,58.20232,0,2
2022-04-28 02:00:00,57.31627,0,2
2022-04-28 03:00:00,60.39026,0,2
2022-04-28 04:00:00,82.45294,0,2
2022-04-28 05:00:00,90.98866,0,2
2022-04-28 06:00:00,98.61723,0,2
2022-04-28 07:00:00,86.39536,0,2
2022-04-28 08:00:00,64.25411,0,2
2022-04-28 09:00:00,58.42314,0,2
2022-04-28 10:00:00,57.60464,0,2
2022-04-28 11:00:00,57.16377,0,2
2022-04-28 12:00:00,56.60423,0,2
2022-04-28 13:00:00,57.28545,0,2
2022-04-28 14:00:00,57.86456,0,2
2022-04-28 15:00:00,58.6336,0,2
2022-04-28 16:00:00,59.83027,0,2
2022-04-28 17:00:00,61.29728,0,2
2022-04-28 18:00:00,63.17176,0,2
2022-04-28 19:00:00,63.80225,0,2
2022-04-28 20:00:00,63.65561,0,2
2022-04-28 21:00:00,68.6008,0,2
2022-04-28 22:00:00,103.9364,0,2
2022-04-28 23:00:00,139.6172,0,2
2022-04-29 00:00:00,151.8428,0,2
2022-04-29 01:00:00,153.1945,0,2
2022-04-29 02:00:00,151.224,0,2
2022-04-29 03:00:00,151.8488,0,2
2022-04-29 04:00:00,151.9341,0,2
2022-04-29 05:00:00,152.1066,0,2
2022-04-29 06:00:00,150.2019,0,2
2022-04-29 07:00:00,149.296,0,2
