Tidspunkt,Vannstand (m),Korrigert,Kontrollert
2022-04-25 13:00:00,12.46186,0,2
2022-04-25 14:00:00,12.44297,0,2
2022-04-25 15:00:00,12.26607,0,2
2022-04-25 16:00:00,12.20251,0,2
2022-04-25 17:00:00,12.19938,0,2
2022-04-25 18:00:00,12.198,0,2
2022-04-25 19:00:00,12.19625,0,2
2022-04-25 20:00:00,12.19738,0,2
2022-04-25 21:00:00,12.20652,0,2
2022-04-25 22:00:00,12.21288,0,2
2022-04-25 23:00:00,12.21064,0,2
2022-04-26 00:00:00,12.19989,0,2
2022-04-26 01:00:00,12.194,0,2
2022-04-26 02:00:00,12.195,0,2
2022-04-26 03:00:00,12.19801,0,2
2022-04-26 04:00:00,12.20601,0,2
2022-04-26 05:00:00,12.2085,0,2
2022-04-26 06:00:00,12.23877,0,2
2022-04-26 07:00:00,12.4077,0,2
2022-04-26 08:00:00,12.45822,0,2
2022-04-26 09:00:00,12.43164,0,2
2022-04-26 10:00:00,12.26649,0,2
2022-04-26 11:00:00,12.21109,0,2
2022-04-26 12:00:00,12.21075,0,2
2022-04-26 13:00:00,12.20813,0,2
2022-04-26 14:00:00,12.20513,0,2
2022-04-26 15:00:00,12.20338,0,2
2022-04-26 16:00:00,12.2045,0,2
2022-04-26 17:00:00,12.24107,0,2
2022-04-26 18:00:00,12.41628,0,2
2022-04-26 19:00:00,12.48559,0,2
2022-04-26 20:00:00,12.57658,0,2
2022-04-26 21:00:00,12.58791,0,2
2022-04-26 22:00:00,12.56855,0,2
2022-04-26 23:00:00,12.55688,0,2
2022-04-27 00:00:00,12.58001,0,2
2022-04-27 01:00:00,12.71798,0,2
2022-04-27 02:00:00,12.81971,0,2
2022-04-27 03:00:00,12.85794,0,2
2022-04-27 04:00:00,12.86788,0,2
2022-04-27 05:00:00,12.86713,0,2
2022-04-27 06:00:00,12.8605,0,2
2022-04-27 07:00:00,12.85304,0,2
2022-04-27 08:00:00,12.83229,0,2
2022-04-27 09:00:00,12.83514,0,2
2022-04-27 10:00:00,12.84764,0,2
2022-04-27 11:00:00,12.85263,0,2
2022-04-27 12:00:00,12.85127,0,2
2022-04-27 13:00:00,12.83741,0,2
2022-04-27 14:00:00,12.84489,0,2
2022-04-27 15:00:00,12.8232,0,2
2022-04-27 16:00:00,12.67819,0,2
2022-04-27 17:00:00,12.60365,0,2
2022-04-27 18:00:00,12.53725,0,2
2022-04-27 19:00:00,12.37245,0,2
2022-04-27 20:00:00,12.31523,0,2
2022-04-27 21:00:00,12.31401,0,2
2022-04-27 22:00:00,12.32263,0,2
2022-04-27 23:00:00,12.32513,0,2
2022-04-28 00:00:00,12.33263,0,2
2022-04-28 01:00:00,12.33701,0,2
2022-04-28 02:00:00,12.32976,0,2
2022-04-28 03:00:00,12.35461,0,2
2022-04-28 04:00:00,12.51266,0,2
2022-04-28 05:00:00,12.5664,0,2
2022-04-28 06:00:00,12.61173,0,2
2022-04-28 07:00:00,12.5379,0,2
2022-04-28 08:00:00,12.38471,0,2
2022-04-28 09:00:00,12.3388,0,2
2022-04-28 10:00:00,12.33213,0,2
2022-04-28 11:00:00,12.32851,0,2
2022-04-28 12:00:00,12.32388,0,2
2022-04-28 13:00:00,12.32951,0,2
2022-04-28 14:00:00,12.33425,0,2
2022-04-28 15:00:00,12.34051,0,2
2022-04-28 16:00:00,12.35014,0,2
2022-04-28 17:00:00,12.36178,0,2
2022-04-28 18:00:00,12.3764,0,2
2022-04-28 19:00:00,12.38125,0,2
2022-04-28 20:00:00,12.38013,0,2
2022-04-28 21:00:00,12.41721,0,2
2022-04-28 22:00:00,12.64202,0,2
2022-04-28 23:00:00,12.82305,0,2
2022-04-29 00:00:00,12.8781,0,2
2022-04-29 01:00:00,12.88401,0,2
2022-04-29 02:00:00,12.87538,0,2
2022-04-29 03:00:00,12.87813,0,2
2022-04-29 04:00:00,12.8785,0,2
2022-04-29 05:00:00,12.87926,0,2
2022-04-29 06:00:00,12.87088,0,2
2022-04-29 07:00:00,12.86688,0,2
2022-04-29 08:00:00,12.86888,0,2
2022-04-29 09:00:00,12.87075,0,2
2022-04-29 10:00:00,12.87038,0,2
2022-04-29 11:00:00,12.867,0,2
2022-04-29 12:00:00,12.86615,0,2
2022-04-29 13:00:00,12.84905,0,2
2022-04-29 14:00:00,12.8357,0,2
2022-04-29 15:00:00,12.86021,0,2
2022-04-29 16:00:00,12.8784,0,2
